기간	자치구	합계	합계	살인	살인	강도	강도	강간강제추행	강간강제추행	절도	절도	폭력	폭력
기간	자치구	발생	검거	발생	검거	발생	검거	발생	검거	발생	검거	발생	검거
2016	합계	117,839	84,421	148	147	262	257	6,002	5,565	46,857	22,566	64,570	55,886
2016	종로구	4,459	4,298	6	5	12	14	238	1,106	1,940	1,020	2,263	2,153
2016	중구	4,584	3,068	3	3	8	7	198	148	2,150	914	2,225	1,996
2016	용산구	4,137	2,835	4	4	9	10	251	214	1,489	599	2,384	2,008
2016	성동구	3,026	2,392	4	5	3	5	104	78	1,296	896	1,619	1,408
2016	광진구	5,322	3,312	4	4	11	6	279	234	2,636	1,057	2,392	2,011
2016	동대문구	4,787	3,623	5	5	10	12	190	158	1,940	1,071	2,642	2,377
2016	중랑구	5,041	3,935	8	7	14	14	164	150	1,691	1,052	3,164	2,712
2016	성북구	3,744	2,672	4	3	8	8	154	117	1,470	725	2,108	1,819
2016	강북구	4,229	3,323	7	6	5	4	217	159	1,222	672	2,778	2,482
2016	도봉구	2,438	1,930	3	3	5	5	123	121	866	492	1,441	1,309
2016	노원구	4,543	3,021	5	6	6	9	159	142	1,857	740	2,516	2,124
2016	은평구	4,501	3,353	6	6	9	7	156	142	1,666	890	2,664	2,308
2016	서대문구	3,665	2,554	6	7	5	4	175	147	1,503	752	1,976	1,644
2016	마포구	5,873	3,771	4	4	4	7	399	320	2,527	940	2,939	2,500
2016	양천구	4,112	2,793	5	5	7	7	131	108	1,719	755	2,250	1,918
2016	강서구	5,450	4,097	9	10	10	10	275	239	1,952	1,070	3,204	2,768
2016	구로구	5,366	3,744	9	9	10	13	273	181	1,910	861	3,164	2,680
2016	금천구	3,645	2,756	6	6	7	7	175	143	1,264	654	2,193	1,946
2016	영등포구	6,322	4,199	13	13	19	14	356	225	2,341	940	3,593	3,007
2016	동작구	3,227	2,160	8	6	7	7	325	149	1,226	554	1,661	1,444
2016	관악구	5,678	3,925	6	7	12	10	322	264	2,103	937	3,235	2,707
2016	서초구	4,989	3,422	5	5	13	10	428	271	2,205	1,107	2,338	2,029
2016	강남구	8,149	5,905	5	5	39	42	516	413	3,587	1,918	4,002	3,527
2016	송파구	6,090	4,060	9	8	15	12	234	184	2,543	1,048	3,289	2,808
2016	강동구	4,462	3,273	4	5	14	13	160	152	1,754	902	2,530	2,201
